ID	Directory	CreatedAt	UpdatedAt	Title	Creator	WordsCount	UniqueWordsCount	A1Words	A2Words	B1Words	B2Words	C1Words	C2Words	A1Readability	A2Readability	B1Readability	B2Readability	C1Readability	C2Readability
67c19f90	alexander-hamilton/the-federalist-papers	2022-10-04	2022-10-04	The Federalist Papers	Alexander Hamilton	94424	5779	424	361	708	1020	1279	1320	39	52	68	82	93	99
f544c220	alexander-mackenzie/journals	2022-10-04	2022-10-04	Journals	Alexander Mackenzie	58564	4286	444	414	700	936	885	664	51	65	80	90	97	100
5fca3ca9	alexander-pushkin/eugene-onegin	2022-10-04	2022-10-04	Eugene Onegin	Alexander Pushkin	20961	5152	462	440	755	1073	1156	904	39	52	66	81	92	98
312c0155	alexander-smith/the-no1-ladies-detective-agency	2022-10-04	2022-10-04	The No1 Ladies Detective Agency	Alexander Smith	6068	788	346	162	133	90	31	13	72	83	92	97	100	100
c46205ef	alexandre-dumas/the-black-tulip	2022-10-04	2022-10-04	The Black Tulip	Alexandre Dumas	33659	4401	465	460	783	992	965	567	55	67	78	88	97	100
b8b6363b	alexandre-dumas/the-count-of-monte-cristo	2022-10-04	2022-10-04	The Count of Monte Cristo	Alexandre Dumas	5717	705	358	162	102	47	16	13	74	87	93	95	96	97
a9aa2562	alexandre-dumas/the-three-musketeers	2022-10-04	2022-10-04	The Three Musketeers	Alexandre Dumas	104633	6542	468	480	904	1409	1581	1239	56	70	81	91	97	100
db9c1f4a	alexandre-dumas/the-vicomte-de-bragelonne	2022-10-04	2022-10-04	The Vicomte de Bragelonne	Alexandre Dumas	329021	10619	468	489	961	1762	2710	2853	55	69	82	91	97	100
27237458	alexandre-dumas/twenty-years-after	2022-10-04	2022-10-04	Twenty Years After	Alexandre Dumas	110959	6987	467	486	923	1504	1765	1359	57	72	83	92	97	100
c723ba55	alfred-burrage/smee	2022-10-04	2022-10-04	Smee	Alfred Burrage	1525	470	249	86	71	47	9	6	69	82	91	98	100	100
c289d250	alfred-burrage/the-waxwork	2022-10-04	2022-10-04	The Waxwork	Alfred Burrage	1415	344	211	59	32	17	12	8	82	90	95	97	99	99
4a98894c	alfred-lord-tennyson/idylls-of-the-king	2022-10-04	2022-10-04	Idylls of the King	Alfred, Lord Tennyson	42058	4116	438	378	552	803	913	665	55	68	79	88	95	99
